trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3192070,494,2,"Jason Hargrove Transit Center",,0,28962,shp-494-51,1,1
2575020,494,3,"Jason Hargrove Transit Center",,0,24842,shp-494-51,1,1
1885070,494,2,"Jason Hargrove Transit Center",,0,28962,shp-494-51,1,1
307070,494,2,"Jason Hargrove Transit Center",,0,28982,shp-494-51,1,1
2262070,494,2,"Jason Hargrove Transit Center",,0,28942,shp-494-51,1,1
2959070,494,2,"Jason Hargrove Transit Center",,0,28982,shp-494-51,1,1
566070,494,2,"Jason Hargrove Transit Center",,0,28942,shp-494-51,1,1
727020,494,3,"Jason Hargrove Transit Center",,0,24842,shp-494-51,1,1
779070,494,2,"Jason Hargrove Transit Center",,0,29012,shp-494-51,1,1
2444020,494,3,"Jason Hargrove Transit Center",,0,24862,shp-494-51,1,1
844020,494,3,"Jason Hargrove Transit Center",,0,24862,shp-494-51,1,1
309020,494,3,"Jason Hargrove Transit Center",,0,24852,shp-494-51,1,1
645020,494,3,"Jason Hargrove Transit Center",,0,24862,shp-494-51,1,1
255020,494,3,"Jason Hargrove Transit Center",,0,24852,shp-494-51,1,1
2560020,494,3,"Jason Hargrove Transit Center",,0,24842,shp-494-51,1,1
2424070,494,2,"Jason Hargrove Transit Center",,0,29012,shp-494-51,1,1
2192020,494,3,"Jason Hargrove Transit Center",,0,24862,shp-494-51,1,1
2081020,494,3,"Jason Hargrove Transit Center",,0,24842,shp-494-51,1,1
1825010,495,1,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
1862020,495,3,"Jason Hargrove Transit Center",,0,25012,shp-495-51,1,1
1941020,495,3,"Jason Hargrove Transit Center",,0,24982,shp-495-51,1,1
567020,495,3,"Jason Hargrove Transit Center",,0,24992,shp-495-51,1,1
59010,495,1,"Jason Hargrove Transit Center",,0,24972,shp-495-51,1,1
925020,495,3,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
2769070,495,2,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
2712070,495,2,"Jason Hargrove Transit Center",,0,24982,shp-495-51,1,1
2952010,495,1,"Jason Hargrove Transit Center",,0,24972,shp-495-51,1,1
2905020,495,3,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
976020,495,3,"Jason Hargrove Transit Center",,0,24992,shp-495-51,1,1
415020,495,3,"Jason Hargrove Transit Center",,0,24982,shp-495-51,1,1
449020,495,3,"Jason Hargrove Transit Center",,0,24982,shp-495-51,1,1
2661070,495,2,"Jason Hargrove Transit Center",,0,24982,shp-495-51,1,1
