trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
1828070,125,2,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1,1125
439020,125,3,"Fort Street-River Rouge",,1,11241,shp-125-01,1,1,1124
2692020,125,3,"Fort Street-River Rouge",,1,11341,shp-125-01,1,1,1134
782070,125,2,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1,1128
1649020,125,3,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1,1126
1197020,125,3,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1,1126
2745010,125,1,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1,1129
3313020,125,3,"Fort Street-River Rouge",,1,11231,shp-125-01,1,1,1123
553010,125,1,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1,1126
2835010,125,1,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1,1126
3388020,125,3,"Fort Street-River Rouge",,1,11351,shp-125-01,1,1,1135
3011010,125,1,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1,1127
2855020,125,3,"Fort Street-River Rouge",,1,11241,shp-125-01,1,1,1124
3323020,125,3,"Fort Street-River Rouge",,1,11231,shp-125-01,1,1,1123
223010,125,1,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1,1129
3504010,125,1,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1,1130
3225070,125,2,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1,1126
350070,125,2,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1,1129
238020,125,3,"Fort Street-River Rouge",,1,11351,shp-125-01,1,1,1135
2107010,125,1,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1,1126
1671010,125,1,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1,1125
2623070,125,2,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1,1127
1845070,125,2,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1,1129
700070,125,2,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1,1130
3496020,125,3,"Fort Street-River Rouge",,1,11321,shp-125-01,1,1,1132
1429020,125,3,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1,1125
256010,125,1,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1,1127
1944020,125,3,"Fort Street-River Rouge",,1,11221,shp-125-01,1,1,1122
2630020,125,3,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1,1125
1264010,125,1,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1,1128
3253020,125,3,"Fort Street-River Rouge",,1,11311,shp-125-01,1,1,1131
11020,125,3,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1,1129
3335020,125,3,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1,1130
3563020,125,3,"Fort Street-River Rouge",,1,11321,shp-125-01,1,1,1132
3377070,125,2,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1,1126
3009070,125,2,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1,1128
2487010,125,1,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1,1130
2605020,125,3,"Fort Street-River Rouge",,1,11321,shp-125-01,1,1,1132
1499010,125,1,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1,1125
546020,125,3,"Metro Airport",,0,11351,shp-125-51,1,1,1135
3016070,125,2,"Metro Airport",,0,11301,shp-125-51,1,1,1130
2546020,125,3,"Metro Airport",,0,11331,shp-125-51,1,1,1133
2540010,125,1,"Metro Airport",,0,11251,shp-125-51,1,1,1125
3566010,125,1,"Metro Airport",,0,11281,shp-125-51,1,1,1128
2341020,125,3,"Metro Airport",,0,11281,shp-125-51,1,1,1128
2640070,125,2,"Metro Airport",,0,11281,shp-125-51,1,1,1128
2581010,125,1,"Metro Airport",,0,11261,shp-125-51,1,1,1126
3074070,125,2,"Metro Airport",,0,11301,shp-125-51,1,1,1130
2149020,125,3,"Metro Airport",,0,11321,shp-125-51,1,1,1132
1262010,125,1,"Metro Airport",,0,11301,shp-125-51,1,1,1130
67070,125,2,"Metro Airport",,0,11261,shp-125-51,1,1,1126
2198020,125,3,"Metro Airport",,0,11221,shp-125-51,1,1,1122
539020,125,3,"Metro Airport",,0,11261,shp-125-51,1,1,1126
531020,125,3,"Metro Airport",,0,11231,shp-125-51,1,1,1123
2896070,125,2,"Metro Airport",,0,11271,shp-125-51,1,1,1127
1434010,125,1,"Metro Airport",,0,11251,shp-125-51,1,1,1125
1118010,125,1,"Metro Airport",,0,11261,shp-125-51,1,1,1126
3232020,125,3,"Metro Airport",,0,11311,shp-125-51,1,1,1131
3185070,125,2,"Metro Airport",,0,11301,shp-125-51,1,1,1130
2666020,125,3,"Metro Airport",,0,11261,shp-125-51,1,1,1126
1078010,125,1,"Metro Airport",,0,11291,shp-125-51,1,1,1129
2130020,125,3,"Metro Airport",,0,11321,shp-125-51,1,1,1132
2589020,125,3,"Metro Airport",,0,11261,shp-125-51,1,1,1126
632010,125,1,"Metro Airport",,0,11271,shp-125-51,1,1,1127
3022070,125,2,"Metro Airport",,0,11291,shp-125-51,1,1,1129
3562020,125,3,"Metro Airport",,0,11271,shp-125-51,1,1,1127
1323020,125,3,"Metro Airport",,0,11251,shp-125-51,1,1,1125
1722010,125,1,"Metro Airport",,0,11271,shp-125-51,1,1,1127
1049070,125,2,"Metro Airport",,0,11281,shp-125-51,1,1,1128
4070,125,2,"Metro Airport",,0,11251,shp-125-51,1,1,1125
1073020,125,3,"Metro Airport",,0,11241,shp-125-51,1,1,1124
683020,125,3,"Metro Airport",,0,11331,shp-125-51,1,1,1133
852070,125,2,"Metro Airport",,0,11251,shp-125-51,1,1,1125
2323010,125,1,"Metro Airport",,0,11281,shp-125-51,1,1,1128
1238020,125,3,"Metro Airport",,0,11241,shp-125-51,1,1,1124
2116020,125,3,"Metro Airport",,0,11231,shp-125-51,1,1,1123
2342070,125,2,"Metro Airport",,0,11271,shp-125-51,1,1,1127
822020,125,3,"Metro Airport",,0,11341,shp-125-51,1,1,1134
591010,125,1,"Metro Airport",,0,11281,shp-125-51,1,1,1128
2273070,125,2,"Metro Airport",,0,11261,shp-125-51,1,1,1126
139020,125,3,"Metro Airport",,0,11281,shp-125-51,1,1,1128
1206020,125,3,"Metro Airport",,0,11251,shp-125-51,1,1,1125
1355020,125,3,"Metro Airport",,0,11211,shp-125-51,1,1,1121
2801010,125,1,"Metro Airport",,0,11301,shp-125-51,1,1,1130
2991070,125,2,"Metro Airport",,0,11261,shp-125-51,1,1,1126
1237070,125,2,"Metro Airport",,0,11281,shp-125-51,1,1,1128
3233020,125,3,"Metro Airport",,0,11341,shp-125-51,1,1,1134
2547020,125,3,"Metro Airport",,0,11201,shp-125-51,1,1,1120
1875070,125,2,"Metro Airport",,0,11251,shp-125-51,1,1,1125
1420020,125,3,"Metro Airport",,0,11351,shp-125-51,1,1,1135
2891010,125,1,"Metro Airport",,0,11301,shp-125-51,1,1,1130
1062070,125,2,"Metro Airport",,0,11291,shp-125-51,1,1,1129
2936020,125,3,"Metro Airport",,0,11251,shp-125-51,1,1,1125
2183010,125,1,"Metro Airport",,0,11251,shp-125-51,1,1,1125
2019070,125,2,"Metro Airport",,0,11271,shp-125-51,1,1,1127
2596020,125,3,"Metro Airport",,0,11321,shp-125-51,1,1,1132
1656020,125,3,"Metro Airport",,0,11311,shp-125-51,1,1,1131
877020,125,3,"Metro Airport",,0,11241,shp-125-51,1,1,1124
1927020,125,3,"Metro Airport",,0,11301,shp-125-51,1,1,1130
1056020,125,3,"Metro Airport",,0,11291,shp-125-51,1,1,1129
752020,125,3,"Metro Airport",,0,11231,shp-125-51,1,1,1123
465070,125,2,"Metro Airport",,0,11291,shp-125-51,1,1,1129
