stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2134,11594,Woodward & Wilson,,42.622572,-83.282148,,,,,,0
2135,19898,Woodward & South Boulevard,,42.618702,-83.278618,,,,,,0
2136,19899,Woodward & Nebraska,,42.617008,-83.277062,,,,,,0
2137,11596,Woodward @ Trinity Oakland Hospital SB,,42.615408,-83.275719,,,,,,1
2138,1649,Woodward & Bassett,,42.613798,-83.274073,,,,,,0
2139,22440,Woodward & N Berkshire,,42.608505,-83.269050,,,,,,0
2140,12116,Woodward & Square Lake,,42.603283,-83.264123,,,,,,0
2141,11306,Woodward & Roswell Drive,,42.602028,-83.262915,,,,,,0
2142,11315,Woodward & Hickory Grove,,42.596878,-83.258100,,,,,,0
2143,12072,Woodward & Quarton,,42.559692,-83.224053,,,,,,0
2146,23367,N Old Woodward & Oak,,42.553168,-83.219428,,,,,,0
2147,22171,Woodward & Harmon,,42.550768,-83.217790,,,,,,0
2148,20330,Woodward & Samoset,,42.529993,-83.198160,,,,,,0
2149,20331,Woodward & Grandview,,42.528945,-83.197143,,,,,,0
2150,20332,Woodward & Parkway,,42.526442,-83.194775,,,,,,0
2151,20333,Woodward & Chester,,42.523230,-83.191675,,,,,,0
2152,20334,Woodward & Yorba Linda,,42.520098,-83.188688,,,,,,0
2153,20335,Woodward & Coolidge (Basha),,42.515298,-83.184047,,,,,,0
2154,20336,Woodward & Warick,,42.513257,-83.182060,,,,,,0
2155,11289,Woodward & Benjamin,,42.506207,-83.175193,,,,,,0
2156,12013,Woodward & Edgewood,,42.500152,-83.169343,,,,,,0
2157,11290,Woodward & Franklin,,42.498443,-83.167692,,,,,,0
2158,12014,Woodward & Eaton,,42.494898,-83.164273,,,,,,0
2160,10433,Woodward & Oakridge,,42.493237,-83.162652,,,,,,0
2161,12016,Woodward & Harvard,,42.492378,-83.161842,,,,,,0
2162,1183,11 Mile & Woodward,,42.489455,-83.157757,,,,,,0
2163,23405,11 Mile & Oak,,42.489533,-83.154530,,,,,,0
2164,20368,11 Mile & S Maple,,42.489582,-83.151940,,,,,,0
2165,10434,11 Mile & S West,,42.489637,-83.148760,,,,,,0
2166,20338,S Washington & Fourth,,42.487007,-83.146695,,,,,,0
2167,20339,S Washington & Sixth,,42.485345,-83.146615,,,,,,0
2168,20340,S Washington & Lincoln,,42.483143,-83.146520,,,,,,0
2169,20341,S Washington & Hudson,,42.481483,-83.146472,,,,,,0
2170,11646,S Washington & Parent,,42.479893,-83.146408,,,,,,0
2171,10422,S Washington & Allenhurst,,42.477660,-83.146282,,,,,,0
2172,19888,Woodward & Elm Park,,42.472050,-83.142880,,,,,,0
2173,19889,Woodward & Oakland Park,,42.470150,-83.141433,,,,,,0
2177,10228,Woodward & Albany,,42.457730,-83.132940,,,,,,0
2179,18707,Woodward & Fielding,,42.449822,-83.127573,,,,,,0
2183,18314,Woodward & 7 Mile,,42.431607,-83.115160,,,,,,0
2204,14326,Woodward & Trowbridge,,42.389883,-83.086645,,,,,,0
2210,13970,Woodward & Hazelwood,,42.380588,-83.080370,,,,,,0
2211,13971,Woodward & Blaine,,42.379238,-83.079402,,,,,,0
2212,13974,Woodward & Euclid,,42.376872,-83.077926,,,,,,0
